network,station,location,channel
US,JCT,00,BH*
US,KSU1,10,BH*
US,LRAL,00,BH*
US,MIAR,00,BH*
US,MNTX,00,BH*
US,OGNE,00,BH*
US,OXF,00,BH*
US,SCIA,00,BH*
US,SDCO,00,BH*
US,WMOK,10,BH*
XR,PW13,--,CH*
Y7,PW14,--,EH*
Y7,PW15,--,EH*
YW,508,01,HH*
YW,512,01,HH*
YW,518,01,HH*
ZD,RH03,--,EH*
ZD,RH04,--,EH*
ZD,RH05,--,EH*
ZD,RH07,--,EH*
ZD,RH08,--,EH*
ZD,RH09,--,EH*
ZD,RH11,--,EH*
ZW,AZDA,01,EH*
ZW,AZLE,--,HH*
ZW,AZWP,--,HH*
ZW,AZWR,--,HH*
